fileName,A,B,AtoB (bit/s),BtoA (bit/s)
EP018-1509437392727,127.0.0.1:60526,127.0.0.1:1883,44.16280647,4527.023637
EP018-1509437392727,192.168.0.110:46054,192.168.0.110:1883,172.1764809,103.1056833
EP019-1509118433651,192.168.0.123:58790,192.168.0.110:3000,9802.020321,209.7835835
EP019-1509118433651,192.168.0.110:52714,192.168.0.110:1883,180.9266283,4802.482699
EP019-1509118433651,127.0.0.1:46750,127.0.0.1:1883,45.14141918,4790.770957
EP020-1509120251970,192.168.0.123:58801,192.168.0.110:3000,9862.889458,182.449808
EP020-1509120251970,192.168.0.110:53200,192.168.0.110:1883,181.5828752,4909.415008
EP020-1509120251970,127.0.0.1:46750,127.0.0.1:1883,44.95747096,4836.996476
EP020-1509120251970,192.168.0.123:58790,192.168.0.110:3000,32233.78856,432.9417757
EP021-1509122069583,192.168.0.123:58810,192.168.0.110:3000,9742.743387,194.0737152
EP021-1509122069583,192.168.0.110:53696,192.168.0.110:1883,178.8785008,4802.639521
EP021-1509122069583,127.0.0.1:46750,127.0.0.1:1883,44.95480077,4787.930996
EP021-1509122069583,192.168.0.123:58801,192.168.0.110:3000,5054.587689,1263.646922
EP022-1509123889431,192.168.0.123:58821,192.168.0.110:3000,9382.567406,207.9205993
EP022-1509123889431,192.168.0.110:54182,192.168.0.110:1883,173.6998928,4626.234854
EP022-1509123889431,127.0.0.1:46750,127.0.0.1:1883,43.4315337,4557.137265
EP022-1509123889431,192.168.0.123:58810,192.168.0.110:3000,6103.066885,149.7970529
EP023-1509125709446,192.168.0.123:58831,192.168.0.110:3000,9779.074205,205.4235941
EP023-1509125709446,192.168.0.110:54682,192.168.0.110:1883,179.0181954,4791.84189
EP023-1509125709446,127.0.0.1:46750,127.0.0.1:1883,44.43760559,4734.759682
EP023-1509125709446,192.168.0.123:58821,192.168.0.110:3000,2075.147816,518.786954
EP024-1509127530741,192.168.0.123:58841,192.168.0.110:3000,4977.369077,196.066435
EP024-1509127530741,192.168.0.110:55168,192.168.0.110:1883,183.1402587,4938.824031
EP024-1509127530741,127.0.0.1:46750,127.0.0.1:1883,45.58006203,4847.623037
EP024-1509127530741,192.168.0.123:58831,192.168.0.110:3000,18015.1483,577.6173285
EP025-1509130651633,192.168.0.122:47021,192.168.0.110:3000,9308.680144,158.2349001
EP025-1509130651633,192.168.0.110:56440,192.168.0.110:1883,138.7278527,4542.782853
EP025-1509130651633,127.0.0.1:46750,127.0.0.1:1883,31.58896951,4580.569284
EP026-1509132477150,192.168.0.122:47033,192.168.0.110:3000,9533.301533,168.5946858
EP026-1509132477150,192.168.0.110:56934,192.168.0.110:1883,139.4881856,4633.173004
EP026-1509132477150,127.0.0.1:46750,127.0.0.1:1883,31.41356924,4641.626913
EP026-1509132477150,192.168.0.122:47021,192.168.0.110:3000,3289.493575,822.3733938
EP027-1509134296896,192.168.0.122:47044,192.168.0.110:3000,9923.602852,166.161
EP027-1509134296896,192.168.0.110:57422,192.168.0.110:1883,146.738766,4803.632398
EP027-1509134296896,127.0.0.1:46750,127.0.0.1:1883,32.00856525,4714.027891
EP027-1509134296896,192.168.0.122:47033,192.168.0.110:3000,12952.38095,3238.095238
EP028-1509136115522,192.168.0.122:47055,192.168.0.110:3000,10108.00609,160.2816548
EP028-1509136115522,192.168.0.110:57916,192.168.0.110:1883,147.7525274,4968.631097
EP028-1509136115522,127.0.0.1:46750,127.0.0.1:1883,32.4695723,5011.176781
EP028-1509136115522,192.168.0.122:47044,192.168.0.110:3000,21760,5440
EP029-1509137934144,192.168.0.122:47065,192.168.0.110:3000,9599.159977,164.1542522
EP029-1509137934144,192.168.0.110:58408,192.168.0.110:1883,139.7758868,4632.440754
EP029-1509137934144,127.0.0.1:46750,127.0.0.1:1883,31.58027589,4676.287642
EP029-1509137934144,192.168.0.122:47055,192.168.0.110:3000,1545.235052,727.1694362
EP030-1509139754836,192.168.0.122:47075,192.168.0.110:3000,9652.988223,164.1190267
EP030-1509139754836,192.168.0.110:58898,192.168.0.110:1883,139.8861864,4741.053982
EP030-1509139754836,127.0.0.1:46750,127.0.0.1:1883,31.68214996,4668.192042
EP030-1509139754836,192.168.0.122:47065,192.168.0.110:3000,93489.68571,1597.8671
EP031-1509141574508,192.168.0.122:47084,192.168.0.110:3000,9517.172047,158.787649
EP031-1509141574508,192.168.0.110:59386,192.168.0.110:1883,139.5670736,4726.953514
EP031-1509141574508,127.0.0.1:46750,127.0.0.1:1883,31.41737564,4716.850116
